population,latitude,longitude,Elevation,MAT,MCMT,PPT_wt,PPT_sp,PPT_sm,PPT_at,Nitrogen,CN,pH,Phosphore,Calcium,Magnesium,Sodium,Potassium,Iron,Aluminium,WHC,OC,SOM,Manganese,leaf_Otu0000001,leaf_Otu0000002,leaf_Otu0000003,leaf_Otu0000004,leaf_Otu0000005,leaf_Otu0000006,leaf_Otu0000008,leaf_Otu0000009,leaf_Otu0000010,leaf_Otu0000011,leaf_Otu0000012,leaf_Otu0000013,leaf_Otu0000014,leaf_Otu0000015,leaf_Otu0000016,leaf_Otu0000017,leaf_Otu0000018,leaf_Otu0000022,leaf_Otu0000023,leaf_Otu0000025,leaf_Otu0000027,leaf_Otu0000028,leaf_Otu0000029,leaf_Otu0000030,leaf_Otu0000031,leaf_Otu0000032,leaf_Otu0000033,leaf_Otu0000034,leaf_Otu0000035,leaf_Otu0000036,leaf_Otu0000037,leaf_Otu0000038,leaf_Otu0000042,leaf_Otu0000044,leaf_Otu0000051,leaf_Otu0000052,leaf_Otu0000057,leaf_Otu0000058,leaf_Otu0000063,leaf_Otu0000066,leaf_Otu0000067,leaf_Otu0000068,leaf_Otu0000070,leaf_Otu0000073,leaf_Otu0000074,leaf_Otu0000077,leaf_Otu0000078,leaf_Otu0000084,leaf_Otu0000089,leaf_Otu0000093,leaf_Otu0000094,leaf_Otu0000096,leaf_Otu0000100,leaf_Otu0000101,leaf_Otu0000109,leaf_Otu0000115,leaf_Otu0000116,leaf_Otu0000117,leaf_Otu0000120,leaf_Otu0000137,leaf_Otu0000152,leaf_Otu0000157,leaf_Otu0000179,leaf_Otu0000246,leaf_Otu0000365,root_Otu0000001,root_Otu0000002,root_Otu0000003,root_Otu0000004,root_Otu0000005,root_Otu0000006,root_Otu0000007,root_Otu0000009,root_Otu0000011,root_Otu0000016,root_Otu0000017,root_Otu0000019,root_Otu0000020,root_Otu0000021,root_Otu0000024,root_Otu0000026,root_Otu0000028,root_Otu0000030,root_Otu0000041,root_Otu0000046,root_Otu0000049,root_Otu0000050,root_Otu0000051,root_Otu0000058,root_Otu0000063,root_Otu0000064,root_Otu0000070,root_Otu0000075,root_Otu0000076,root_Otu0000100,root_Otu0000102,root_Otu0000114,root_Otu0000121,root_Otu0000122,root_Otu0000144,root_Otu0000146,root_Otu0000156,root_Otu0000163,root_Otu0000174,root_Otu0000199,root_Otu0000238,root_Otu0000258,root_Otu0000284,root_Otu0000989,plant_OTU1,plant_OTU3,plant_OTU4,plant_OTU7,plant_OTU8,plant_OTU10,plant_OTU15,plant_OTU16,plant_OTU18,plant_OTU20,plant_OTU27,plant_OTU46,plant_OTU49,plant_OTU65,plant_OTU67,plant_OTU71,plant_OTU72,plant_OTU78,plant_OTU83,plant_OTU87,plant_OTU88,plant_OTU100,plant_OTU109,plant_OTU113,plant_OTU114,plant_OTU132,plant_OTU136,plant_OTU143,plant_OTU145,plant_OTU146,plant_OTU147,plant_OTU149,plant_OTU154,plant_OTU159,plant_OTU179,plant_OTU192,plant_OTU196,plant_OTU198,plant_OTU202,plant_OTU203,plant_OTU204,plant_OTU216,plant_OTU223,plant_OTU234,plant_richness,plant_Shannon
AMBR-A,0.33797855495585627,0.24617703447024034,-0.5232815964523282,0.42914979757085125,0.45652173913043465,0.004021447721180158,-0.25936599423631085,-0.37015781922525076,-0.2807498856881575,0.3286307053941909,2.0323450134770886,0.211428571428571,0.0034364261168384914,0.2803561280545558,0.3317919075144508,1.3586750823151048,-0.19657348963029775,-0.5247148288973383,-0.888385269121813,0.6092836321080621,1.3672566371681414,1.3706070287539935,-0.17991967871485945,0.21685202120182695,1.9114019267017965,-0.3467236732622033,-0.3664149933880429,4.115382669136971,8.511756543321692,0.0,0.0,5.186082354877598,0.0,19.285376292443576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647243407783417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627703827485124,3.31964796300885,0.0,2.26117743288836,0.0,1.69351603082962,2.617935555867081,0.0,0.0,0.0,0.0,0.0,7.18029174828516,0.0,2.35026470092756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973900337154254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823744001038274,0.0,-0.4418126578104494,0.0,13.9235757640207,12.8873271621389,0.0,6.10798256781,0.0,0.0,4.59362847558344,0.0,0.0,0.0,0.0,0.0,1.21974176120119,0.0,0.0,0.0,1.41328115180228,0.0,0.0,0.840300028992376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0,0.0,20.0,1.0,0.0,1.0,3.0,0.0,0.0,0.5,0.0,0.0,3.3333333333333335,0.0,9.644927536231883,0.0,5.0,0.0,0.0,0.0,54.11764705882352,0.0,4.705882352941177,0.0,0.9090909090909091,1.0,30.666666666666668,0.0,0.0,1.0,0.0,0.41379310344827586,0.0,57.6,0.0,0.0,1.1397984886649872,0.0,0.0,0.0,0.0,0.0,0.0,1.65,1.1466341827157953
ANGE-A,0.58886894075403,0.11261012011796742,-0.42572062084257206,0.22672064777327913,0.28260869565217367,-0.04423592493297546,-0.23054755043227632,-0.11477761836441859,-0.2679469593049838,-0.8069709543568466,0.01617250673854432,0.8400000000000004,-0.40893470790378006,0.037885963250615384,-0.6283236994219654,-0.5117319535753742,-0.23264201983769184,-0.5247148288973383,-0.4056657223796034,-0.6743148232802242,-0.7721238938053098,-0.7712460063897763,-0.17991967871485945,1.38085368092038,0.0,1.4531793758607756,0.10143367274575309,2.2000264846099573,5.555917867324321,0.0,0.673076718281023,0.0,0.953134891122022,0.0,0.7305830475582966,1.2478564113463961,1.1615440596246251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.046681037259065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26651698971397,0.0,1.40133116800924,1.8591191885846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13853504539274,0.0,0.0,0.0,0.0,0.0,0.0,2.3524292166817498,0.0,0.4462027702772953,0.0,3.89306443019381,4.15998988383031,0.0,1.07174928510961,0.0,1.69433396267379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35302128565272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976555593669406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13768115942028983,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86272040302267,0.0,0.0,0.0,0.0,0.0,0.0,-0.8500000000000001,-0.785903765224173
ANGE-B,0.5890668237567561,0.11277466254325481,-0.4286770140428677,0.23481781376518251,0.28260869565217367,-0.04423592493297546,-0.23054755043227632,-0.11477761836441859,-0.2679469593049838,0.4049792531120328,-0.3396226415094337,0.11999999999999947,-0.5395189003436427,1.2199280166698239,-0.16069364161849714,-0.31738079350667797,-0.5356176735798017,-0.1064638783269962,-0.004532577903682849,-0.18576959253172975,0.04646017699115047,0.04792332268370607,-0.17991967871485945,0.5251121460134865,0.0,0.3001985585605178,0.058836754462631986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481438574904205,1.1017145413677905,0.0,0.0,0.0,1.67158426134983,0.0,0.0,0.0,0.0,0.0,1.1981494513868174,0.0,5.19892610979549,0.0,0.0,0.0,0.0,0.0,1.33660898465122,3.9640512956589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4938829331069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12672770116703,0.0,1.2209033791737,0.0,0.0,0.0,0.0,2.464540662671388,0.0,-0.4418126578104494,0.0,2.48231431676259,1.57333008731203,1.4308501849078932,2.19987244186916,0.779492097405374,0.758100513781479,0.627445647491875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91955926112177,0.0,0.0,0.0,0.0,3.15830979433978,1.2352112349795568,0.0,0.0,0.0,0.539349535224764,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13768115942028983,2.0,0.0,0.0,60.0,0.0,444.7058823529411,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,2.0,0.0,10.0,40.0,0.8275862068965517,0.0,0.0,0.0,0.0,-0.25818639798488663,0.0,0.0,0.0,8.0,0.0,0.0,0.1499999999999999,-0.46042143426499677
AULO-A,-0.42362821292352276,-0.5590384811615897,0.07686622320768663,-0.17813765182186195,-0.08695652173913036,-0.3445040214477205,0.07492795389049034,0.08895265423242495,0.017375400091449677,0.2755186721991698,-0.39353099730458196,0.34285714285714264,0.7388316151202751,0.7880280356128058,-0.5595375722543353,-0.02317949615498227,0.30357679591223286,-0.09885931558935361,-0.75014164305949,0.7142581130293921,-0.07522123893805321,-0.07731629392971243,-0.17991967871485945,-0.09669632940225216,0.0,1.5535378319354396,2.217869732021347,0.0,0.0,0.0,0.0,0.0,0.0,52.97189389966219,0.5029421013041817,3.139013251872731,2.7612268747239552,0.0,0.0,3.61842996203224,1.71082277238338,0.869334245768916,0.7473015643331863,0.0,0.0,0.0,0.0,2.00593811074399,1.73138639603963,0.902362064930316,1.28754837134328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32467342173303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881378395031143,0.0,0.0,0.0,0.0,0.767939889472506,0.0,0.0,0.0,-0.07105774108745412,0.0,2.005798143504406,1.97924303061652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1113788248829,3.66847376484437,0.0,0.0,0.0,0.0,5.61500629264258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29077778290241,0.0,0.0,0.0,0.0,5.91334441714629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,220.0,24.5,0.0,0.0,0.0,1.875,0.07971014492753624,0.0,0.0,6.0,110.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.27586206896551724,0.0,0.0,0.0,0.0,1.5680100755667505,0.0,0.0,0.0,0.0,0.0,0.0,0.5249999999999999,0.6958015136321173
AURE-B,-0.02025002727909369,-0.050682261987085475,-0.3429416112342942,0.29149797570850466,0.5434782608695652,-0.4356568364611254,-0.06916426512968235,-0.18938307030129123,-0.38500228623685384,-0.6605809128630705,-0.3180592991913745,0.7714285714285712,-0.34707903780068744,1.50028414472438,1.1930635838150292,3.8388811708981896,0.84580703336339,-0.5247148288973383,-1.4708215297450427,0.6578650320563737,-0.7300884955752212,-0.7303514376996805,-0.17991967871485945,0.19156451480660852,65.29199927882236,-0.311491172280937,-0.30548078808170825,0.0,0.0,0.0,0.0,0.6289368953017,0.0,0.0,0.6151983657867955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36626232897417,0.0,0.0,0.70878055637134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58549316018363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04568945883307823,14.9013989851386,1.307046804295703,0.0,0.0,0.0,0.20575350327624328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76208988132467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58233326099462,1.02270455197808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6968624142709,0.0,0.0,0.0,0.776958849612044,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.5,0.0,0.0,8.333333333333334,5.0,0.07971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,1.8181818181818181,0.0,0.0,1.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,-0.32115869017632237,61.0,0.0,0.0,0.0,2.0,0.0,0.3999999999999999,0.817080644193601
AUZE-A,0.04966301998231357,-0.019200343781843907,-0.3340724316334072,0.20242914979757054,-0.021739130434782747,-0.47319034852546843,-0.20172910662824176,-0.30989956958393094,-0.45267489711934145,-0.7741078838174275,0.2641509433962263,-0.5428571428571425,-0.7182130584192441,-0.9198711877249481,-0.9248554913294799,-0.6133651290241418,-0.78809738503156,0.0532319391634981,-0.428328611898017,-1.4152084397585312,-0.6900442477876106,-0.6894568690095847,0.47550200803212855,0.07758015262029422,41.55763797253653,-0.4954160448820457,-0.3664149933880429,0.9818740960186183,0.0,0.0,0.0,1.8336939419771219,0.0,0.0,0.6181046955620902,0.0,0.0,0.0,0.0,0.0,2.62558443164573,0.0,0.0,0.0,0.0,0.43321732270802105,3.61329311834709,0.910361292850673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60287102176919,6.73177387788015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3110633150778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22413898464467,0.0,0.0,-0.07105774108745412,20.3638018894694,-0.4418126578104494,0.0,0.0,0.0,3.9770451186076756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63837520599657,0.0,0.0,0.0,0.0,0.0,2.90635786551702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29541446973966,0.0,0.0,0.0,0.0,0.0,0.0,0.988318534029786,0.0,1.9,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.717391304347825,0.0,0.0,0.0,0.0,0.0,504.7058823529411,0.0,7.294117647058823,0.0,6.363636363636363,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,8.32183908045977,1.0,0.0,0.0,0.0,1.0516372795969773,0.0,0.0,2.0,0.0,0.0,0.0,0.6499999999999999,0.5627373085461076
AXLE-A,-1.0781227358798757,0.2542963245335752,1.2446415373244641,-0.7206477732793544,0.7391304347826086,-0.5160857908847181,1.2968299711815587,1.1822094691535148,0.26977594878829436,-0.4082987551867221,7.735849056603771,0.7028571428571421,-0.4982817869415809,-0.2826292858495928,-0.7323699421965318,-0.231794961549821,-0.9419897805831079,0.5779467680608364,0.0067988668555242745,-1.0571782431075691,2.1371681415929196,2.130990415335463,-0.17991967871485945,-0.09669632940225216,28.83571227686608,-0.4954160448820457,0.6775808368332503,0.0,0.0,0.0,0.0,0.0,0.0,264.90834294867716,0.0,0.0,0.0,0.0,0.0,2.41164471180798,0.0,0.0,0.0,0.628342999668275,0.0,0.0,0.759134568959959,0.0,0.0,0.0,0.0,1.79270086189169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.789730488746279,0.0,0.0,0.0,0.0,0.0,0.0,-0.07105774108745412,53.5196334545455,-0.4418126578104494,0.0,0.0,0.0,0.5494953988271589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41443078976218,0.0,6.79028850816683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.13768115942028983,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.23529411764705882,0.0,0.9090909090909091,0.0,19.666666666666668,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0,0.0,5.0,-0.35894206549118385,0.0,0.0,6.0,24.0,0.0,0.0,0.6499999999999999,0.8385080524200116
AXLE-B,-1.0775739964893336,0.2538673959783356,1.2416851441241685,-0.7206477732793544,0.7391304347826086,-0.5187667560321708,1.2968299711815587,1.1822094691535148,0.2642889803383628,-0.09958506224066413,1.2129380053908354,-0.43428571428571416,0.2783505154639176,-0.44781208562227703,-0.5173410404624278,-0.25319141953903535,-0.5788999098286747,0.09885931558935367,-0.18810198300283276,-0.17800945835486928,0.3451327433628319,0.34440894568690084,0.34056224899598386,-0.09669632940225216,46.83537161436189,-0.2047053872843068,0.4914453308535338,0.0,0.0,18.5925301898945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42511978055199,0.0,2.25879809839842,0.0,1.55870645791053,0.701294154735442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68867559699643,0.704293450191551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17140973039649,0.0,0.0,-0.07105774108745412,35.6361321472736,0.9292748934750674,0.0,0.0,0.0,2.613808131103949,0.0,0.0,0.0,0.0,1.57608774464627,0.0,0.0,0.0,0.0,0.0,3.06775525799494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13768115942028983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.517632241813602,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-1.1332420525742883
BACC-B,-0.2528692158254555,-0.0003985760690215755,-0.3311160384331116,0.38056680161943407,0.41304347826086946,-0.5482573726541548,-0.12680115273775233,-0.2381635581061693,-0.3923182441700959,-0.2688796680497927,-0.11320754716981137,0.46857142857142975,0.06529209621993114,0.5682894487592345,0.7306358381502892,1.4068171127908367,-0.10159302675082683,-0.5247148288973383,-0.8113314447592068,0.23971946390509247,-0.3584070796460179,-0.359744408945687,-0.17991967871485945,1.093262348804693,0.0,0.07368936726750631,0.16764385855148592,8.043824041300551,11.074037421690965,0.0,0.0,0.0,12.4611706237688,0.0,0.6113295263654536,0.0,4.954438750429313,11.2014782181303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994566762917215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33862454020945,0.0,0.0,0.0,3.10324476326064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24289383892532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99308464944131,0.0,0.0,0.0,1.1150550176657357,0.0,-0.4418126578104494,0.0,6.04143563545464,4.63904330277106,0.0,0.0,17.9839011911309,15.0929318452082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9132849005674,4.0890988898604,0.0,4.19909699426525,0.0,0.0,0.0,0.0,3.08548927192974,2.6224986879472,4.50345508127965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9799999999999995,1.8,0.0,8.0,1.0,0.0,0.0,0.0,1.2,0.4444444444444445,1.5,14.1,0.0,25.333333333333332,0.125,5.5724637681159415,0.0,0.0,0.0,6.999999999999999,0.0,1.6470588235294115,89.2,10.070588235294117,2.4,3.0909090909090904,11.4,0.0,0.0,0.0,0.0,287.0,0.1839080459770115,0.0,0.48,81.0,0.0,3.149874055415617,28.6,0.0,0.0,1.0,0.0,7.6,0.375,0.19530868324290945
BACC-C,-0.25337023874725567,-0.0001653411749248273,-0.3311160384331116,0.38056680161943407,0.41304347826086946,-0.5482573726541548,-0.12680115273775233,-0.2381635581061693,-0.3941472336534064,1.7825726141078835,-0.36118598382749334,-0.6228571428571428,0.5945017182130584,1.8109490433794284,0.060115606936416245,-0.17652077841101754,0.2855425308085359,-0.12167300380228135,-0.32861189801699714,1.2329332365739332,1.0508849557522122,1.0498402555910544,0.47550200803212855,1.2918218448984922,0.0,-0.3464126207875103,0.07185241628639012,11.900196968013551,23.391865110589574,0.0,2.44707730340876,0.0,22.097172751883,0.0,0.0,0.0,0.0,15.7616993896556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41281748488262,0.0,0.0,0.0,5.03661439103125,0.0,0.0,0.512130282384189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05617611987021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7765623612645124,0.0,-0.26391429430334507,0.0,7.2630478670526,7.1078538000412,0.0,1.94022799779566,21.6269640510976,16.7965462157056,0.801266386738585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.80285275989872,0.0,8.20013967518708,0.0,0.0,0.0,0.0,4.00802299116406,0.0,0.0,0.0,1.5177354393547842,0.0,0.0,0.0,0.662712482390678,0.0,0.598387528550288,0.0,0.0,0.0,0.0,0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.2,0.888888888888889,5.1,1.3,0.0,1.0,1.0,0.644927536231884,0.0,0.4,0.0,22.0,0.2,2.588235294117647,0.0,9.694117647058825,0.4,2.1818181818181817,8.8,0.06666666666666667,0.0,0.0,0.0,10.0,1.3885057471264368,0.0,10.72,80.4,0.0,4.343828715365238,4.6,0.0,0.0,1.8,0.0,0.0,0.0,-0.033141772303788994
