feature,gain
root_Otu0000122,141293.734375
root_Otu0000046,100674.90625
root_Otu0000114,73934.6015625
longitude,72987.8828125
leaf_Otu0000109,55826.21875
plant_OTU198,40901.96875
root_Otu0000026,25184.59765625
leaf_Otu0000015,21760.826171875
plant_OTU18,21006.623046875
CN,19118.2890625
root_Otu0000030,18288.6875
PPT_at,15662.2412109375
plant_OTU72,15515.5810546875
root_Otu0000163,13838.8076171875
Elevation,12761.09375
leaf_Otu0000022,9810.3017578125
plant_OTU109,9246.6220703125
leaf_Otu0000093,8796.2314453125
pH,8650.9150390625
plant_OTU78,8390.3828125
plant_OTU1,7842.1220703125
OC,7505.14697265625
plant_OTU8,7249.015625
Potassium,7013.4990234375
Sodium,6933.16162109375
Manganese,4207.32275390625
plant_richness,3988.002685546875
leaf_Otu0000018,3888.822509765625
plant_OTU113,3694.3740234375
leaf_Otu0000025,3320.54052734375
leaf_Otu0000004,3244.6611328125
SOM,2966.361328125
leaf_Otu0000038,2697.26513671875
plant_Shannon,2658.59228515625
MCMT,2622.26806640625
Iron,2556.51171875
plant_OTU132,2552.339599609375
leaf_Otu0000013,2435.2490234375
Calcium,2356.077392578125
leaf_Otu0000066,2273.48046875
PPT_sp,2269.0166015625
leaf_Otu0000001,2223.9794921875
root_Otu0000174,2169.2314453125
root_Otu0000049,2004.45556640625
leaf_Otu0000042,1959.25390625
leaf_Otu0000037,1957.6514892578125
leaf_Otu0000036,1876.515625
PPT_wt,1838.2666015625
latitude,1777.03857421875
leaf_Otu0000067,1692.8670654296875
PPT_sm,1677.6441650390625
plant_OTU216,1594.450439453125
leaf_Otu0000117,1482.4232177734375
plant_OTU100,1360.6474609375
MAT,1269.0379638671875
leaf_Otu0000003,1122.00439453125
plant_OTU149,929.816650390625
Nitrogen,835.697509765625
root_Otu0000102,690.055419921875
WHC,634.7683715820312
Phosphore,458.08734130859375
plant_OTU143,445.561767578125
plant_OTU145,367.88232421875
leaf_Otu0000002,66.17029571533203
plant_OTU7,36.9267578125
