feature,gain
leaf_Otu0000029,32.377784729003906
plant_OTU67,23.523273468017578
leaf_Otu0000015,17.670677185058594
leaf_Otu0000003,13.823005676269531
leaf_Otu0000014,9.743640899658203
Phosphore,9.11579704284668
plant_richness,8.2479887008667
latitude,8.181778907775879
leaf_Otu0000004,7.240734100341797
plant_OTU46,7.006893157958984
leaf_Otu0000010,6.768360137939453
longitude,6.439545154571533
leaf_Otu0000109,6.213395595550537
leaf_Otu0000036,5.904260635375977
plant_OTU87,5.676187038421631
plant_OTU1,5.551580905914307
root_Otu0000021,4.848420143127441
plant_OTU114,4.580306529998779
plant_OTU27,4.5156731605529785
plant_OTU179,4.388497829437256
leaf_Otu0000013,4.125009059906006
leaf_Otu0000025,4.0757598876953125
leaf_Otu0000116,3.917470693588257
root_Otu0000026,3.8624267578125
leaf_Otu0000044,2.959038734436035
leaf_Otu0000179,2.9504847526550293
plant_OTU198,2.879502058029175
plant_Shannon,2.7417819499969482
leaf_Otu0000037,2.721669912338257
leaf_Otu0000002,2.419309377670288
leaf_Otu0000008,2.3510258197784424
root_Otu0000258,2.079223155975342
plant_OTU65,2.0024497509002686
root_Otu0000020,1.952271580696106
PPT_sm,1.9488954544067383
root_Otu0000075,1.8421720266342163
Calcium,1.6939640045166016
plant_OTU196,1.686059594154358
root_Otu0000102,1.5906095504760742
leaf_Otu0000115,1.5884829759597778
root_Otu0000030,1.4254653453826904
root_Otu0000070,1.334478497505188
leaf_Otu0000022,1.2426542043685913
root_Otu0000007,1.223508358001709
MAT,1.1013836860656738
